delta,theory_gap,repair_vs_refined_slope_mean,repair_vs_refined_slope_std,bayes_oracle_slope_mean,bayes_oracle_slope_std,dgm_true_accepted_mean,dgm_noise_accepted_mean
0.0,0.0,-4.848931312561653e-05,3.337435878844748e-05,0.0,0.0,0.0,0.0
0.1,0.020135513550688766,0.020571730692319275,0.00129349132578126,0.0205866024564835,0.0012728440331791996,3.875,0.0
0.2,0.08228287850505178,0.08236661034061954,0.0011883621413072926,0.08241282536802322,0.0011808094584874961,4.0,0.0
0.3,0.19274475702175742,0.19283748488717342,0.004074205176949061,0.1928660911114527,0.004083688025171802,4.0,0.0
0.4,0.3680642071684971,0.36819201402493096,0.0037386796550546286,0.3682468249504811,0.003759612172958818,4.0,0.0
