t,context,y,nll,nll0,overconfident_memory_nll,memory_only_nll,fixed_half_nll,cumulative_nll,cumulative_nll0,no_harm_slack,accuracy,base_accuracy,ece,brier,base_brier,w_lambda_0,w_lambda_0.05,w_lambda_0.1,w_lambda_0.2,w_lambda_0.4,w_lambda_0.7,w_lambda_1
11,13,12,2.0132140087140242,3.7093388967865573,1.6094379124400007,1.8357204562085738,2.386008771104509,35.79686054288838,42.786444875547694,-8.935494481714626,0.09090909090909091,0.0,0.12809132707388732,0.8472827150367724,0.9759645969696958,0.00013163278003025397,0.0005281812665196687,0.0015511786523671456,0.00773929045558563,0.06028333825853686,0.317093709834227,0.6126726687527334
12,13,28,1.3693019977769527,3.6483444513612056,1.0116009116840483,1.233425502805073,1.8409689292585705,37.16616254066533,46.4347893269089,-11.214536935298879,0.16666666666666666,0.0,0.1364886731784679,0.6209492762938131,0.9728836305618879,1.3476853019000336e-05,8.162518889719253e-05,0.0003206255505790047,0.002407026423112347,0.03132596419966052,0.2640099847763913,0.7018412970083407
13,13,12,1.6776983605026847,3.7093388967865573,1.386294361124891,1.5852393625641628,2.165468154475188,38.843860901168014,50.14412822369545,-13.246177471582753,0.15384615384615385,0.0,0.14961990151904456,0.7813981072370242,0.9759645969696958,1.7670881632080302e-06,1.4644181980871974e-05,7.300484437961825e-05,0.0007805260322659757,0.01620866188168768,0.21309401914989132,0.7698273768216313
14,13,28,1.2183521490441325,3.6483444513612056,0.9555114450321598,1.1476510379039113,1.7619610684037712,40.062213050212144,53.79247267505666,-15.676169773899828,0.21428571428571427,0.0,0.14535374094590883,0.5759083227640441,0.9728836305618879,1.5557004230688713e-07,2.010626480305934e-06,1.3619769055017844e-05,0.00022251398998761066,0.00781462806630802,0.1657218394895039,0.8262252324886229
15,13,28,1.0804691191378297,3.6483444513612056,0.8472978603916086,1.0285207721151601,1.6513812646226962,41.142682169349975,57.44081712641786,-18.2440451061232,0.26666666666666666,0.0,0.17970107473306438,0.5096689390393032,0.9728836305618879,1.1931962583343564e-08,2.5239289866518257e-07,2.3747515292940724e-06,6.052890785772876e-05,0.003652147141158193,0.12600402086700957,0.870280664007584
16,13,36,4.794683665270264,3.1854261809441864,27.631021115928547,4.977185650172241,3.7244226816768733,45.93736583462024,60.626243307362046,-16.63478762179712,0.25,0.0,0.14481199067467676,1.193824584959784,0.9422307886753435,5.964904958058165e-08,1.2091644524999438e-06,1.088231419009388e-05,0.00025215828219409263,0.012171627502007563,0.2624610171891342,0.7251030458989719
17,13,12,1.6194170168592716,3.7093388967865573,1.386294361123641,1.5399410302059573,2.1249099197733736,47.55678285147951,64.33558220414861,-18.72470950172441,0.23529411764705882,0.0,0.1232681064502243,0.7804664671584638,0.9759645969696958,7.378396475211006e-09,2.075505833852296e-07,2.389746127047742e-06,7.955627865111441e-05,0.006174738480698173,0.20865985011978838,0.7850832504457554
18,13,12,1.4335384648378895,3.7093388967865573,1.2237754316256808,1.3717050776819921,1.9726780479806951,48.9903213163174,68.04492110093517,-21.000509933673083,0.2222222222222222,0.0,0.09796739336504069,0.7086339885369249,0.9759645969696958,7.578694810709535e-10,3.129202391025015e-08,4.751333934144998e-07,2.346343345781962e-05,0.0030079795874905363,0.16180819379627698,0.8351598559994878
19,13,12,1.2877878754674743,3.7093388967865573,1.0986122886714988,1.2405904991192496,1.8524427177380403,50.27810919178487,71.75425999772173,-23.422060954992173,0.21052631578947367,0.0,0.10289018718883894,0.6446178885419723,0.9759645969696958,6.728653625135758e-11,4.279530359051609e-09,8.777534246780207e-08,6.586017417449277e-06,0.0014215767016250785,0.12304952866097954,0.8755222164978186
20,13,26,6.34900959702091,4.571069644523637,27.631021115928547,6.563499809213843,5.136383453573697,56.62711878880578,76.32532964224536,-21.644121002494895,0.2,0.0,0.11327380275227937,1.2049274895700417,1.0042582459398504,3.981783870087428e-10,2.4231206655414133e-08,4.745646881808473e-07,3.224193459187638e-05,0.005506296824812687,0.28795593678655634,0.7065050252599658
21,13,12,1.2653220654826085,3.7093388967865573,1.0498221245017352,1.1791414763837074,1.7956579522864375,57.89244085428839,80.03466853903193,-24.08813783379885,0.19047619047619047,0.0,0.12133074186084188,0.6106398106911682,0.9759645969696958,3.456644044801187e-11,3.3189733034568535e-09,8.880558160008562e-08,9.267937174336985e-06,0.002687558105245377,0.22721037649959158,0.7700927052988674
22,13,12,1.156359233934214,3.7093388967865573,0.9650808960465098,1.0894690739934256,1.7123326983552494,59.0488000882226,83.74400743581849,-26.6411174966512,0.22727272727272727,0.0,0.08466250772686118,0.5605639696189315,0.9759645969696958,2.690975101725418e-12,4.228896025703866e-10,1.571700924889224e-08,2.5590173145973407e-06,0.001274926034966555,0.17535629481347664,0.8233662039916524
23,13,28,1.311549809130938,3.6483444513612056,1.1451323043057688,1.261869949974902,1.8670490249053366,60.36034989735354,87.3923518871797,-28.977912138881475,0.21739130434782608,0.0,0.09597609805213761,0.6663595367640514,0.9728836305618879,2.600474868395757e-13,6.104486815053331e-11,3.018713595489589e-09,7.357083617246987e-07,0.000609868489139363,0.1340853642424805,0.86530402848
24,13,31,3.257562878545282,4.560676427909175,3.1354942159309322,3.2272134154840133,3.6864251217426767,63.617912775898816,91.95302831508887,-30.281025688245368,0.20833333333333334,0.0,0.105969112918331,1.138063580169009,1.004042049536602,7.06508900214404e-14,1.8901998781816926e-11,1.049297554338492e-09,3.115802880100623e-07,0.0003508796775936249,0.10768069282962738,0.8919681148442208
25,13,28,1.2368150539481362,3.6483444513612056,1.0986122886706513,1.2066798500101896,1.8163908097679977,64.85472782984695,95.60137276645008,-32.69255508565845,0.2,0.0,0.11476732642128462,0.6257874709049046,0.9728836305618879,6.335833078632414e-15,2.5843536248419678e-12,1.9282901192666322e-10,8.657607334644843e-08,0.00016352549749059424,0.08057952090111532,0.919256866829901
26,13,12,1.149541487075234,3.7093388967865573,1.0216512475344304,1.126848512365431,1.7471304983242582,66.00426931692219,99.31071166323665,-35.25235249536977,0.19230769230769232,0.0,0.1225447531365909,0.582185328904014,0.9759645969696958,4.898891683712526e-16,3.2201564073037095e-13,3.314414568075464e-11,2.3067918252824047e-08,7.449783573630217e-05,0.059569443397212804,0.940356035665666
27,13,26,3.349510203212692,4.571069644523637,3.2580965380229436,3.336727189339075,3.7744370706742285,69.35377952013488,103.88178130776028,-36.473911936680715,0.18518518518518517,0.0,0.1306570610105394,1.1552812557285697,1.0042582459398504,1.4440469462910658e-16,1.0648248281249328e-13,1.2149968495346451e-11,1.0112724347274743e-08,4.3358344225632354e-05,0.04750285354709235,0.9524537779837011
28,13,31,2.7046353692606453,4.560676427909175,2.6026896854462542,2.6924894236638415,3.2420529817695902,72.05841488939552,108.44245773566945,-38.32995299532924,0.17857142857142858,0.0,0.13782425415526953,1.0816507861714273,1.004042049536602,2.2569031490940897e-17,2.1199240100927494e-14,2.938872486556321e-12,3.311675752290102e-09,2.1621162693528983e-05,0.03588560557202332,0.9640927699506473
29,13,31,2.3346470734784672,4.560676427909175,2.2335922215090465,2.324974206688785,2.9165426919931217,74.39306196287399,113.00313416357862,-40.55598234975995,0.1724137931034483,0.0,0.14416522739661114,1.0145339693074398,1.004042049536602,2.4364676942500905e-18,3.244425286769455e-15,5.822864250511009e-13,9.547857555294777e-10,1.0133010037631314e-05,0.026526307014326067,0.973463559020265
30,13,12,1.163200975495302,3.7093388967865573,1.0647107369945354,1.1558295624237824,1.7740472718946634,75.55626293836929,116.71247306036518,-43.10212027105121,0.2,0.0,0.11644253060389761,0.5782397581636879,0.9759645969696958,1.9097961255959844e-19,4.0501636653338456e-16,9.973709966211476e-14,2.5224176961910445e-10,4.559750587651495e-06,0.019329565966781984,0.9806658740302885
31,13,12,1.0973470390906557,3.7093388967865573,1.0033021088658274,1.0919543987440998,1.7146491472751009,76.65360997745994,120.42181195715175,-45.714112128747125,0.22580645161290322,0.0,0.0911945570397223,0.5435209111254066,0.9759645969696958,1.4015653667991868e-20,4.859757707916221e-17,1.661521519714251e-14,6.553039802921721e-11,2.0345416261769996e-06,0.014029428176397069,0.9859685372164296
32,13,59,7.783380861456242,5.398216754921328,27.631021115928547,7.825964990869379,6.00680654745321,84.43699083891617,125.82002871207307,-43.32894802221221,0.21875,0.0,0.0993981804899384,1.218403105055502,1.0159027339542237,1.52221840019623e-19,5.037487845199226e-16,1.6400199945109051e-13,5.819320740397617e-10,1.4037993075082145e-05,0.05512261019605237,0.944863351228776
33,13,28,1.364479257059572,3.6483444513612056,1.2685113254653961,1.3494828574545206,1.9469807848000145,85.80147009597574,129.46837316343428,-45.61281321651385,0.21212121212121213,0.0,0.10667867438719926,0.6921253975386836,0.9728836305618879,1.5509825655748826e-20,7.432844087917828e-17,3.1687088763855475e-14,1.6557921583209322e-10,6.5582350263574165e-06,0.04085376277831262,0.9591396788210501
34,13,12,1.1039372676822632,3.7093388967865573,1.011600911680336,1.0925075329680543,1.715164643222643,86.90540736365801,133.17771206022084,-48.21821484561814,0.23529411764705882,0.0,0.08388115625379873,0.5448452947829191,0.9759645969696958,1.1457645085519953e-21,8.97549769937136e-18,5.311885586119239e-15,4.3282047702730446e-11,2.9441372855661915e-06,0.029831775093885987,0.970165280725541
